Content,Date,User
"Qué bonito es turisteár mientras hay muchas familias sufriendo por falta de tratamiéntos médicos,familiares desaparecidos,desempleadoa y tú  perdiendo el tiempo.
Inépto!
He vivido en México desde Lopez Mateos hasta hoy y no me equivoco al decir que eres el más incompeténte.",30 ago.,@ManuelM57022300
N abrazo para Saludos usted y su familia querido Señor Pdte @lopezobrador_ 🤗,30 ago.,@johnerencastle
"Si muy bonito y todo pero lo votaron para TRABAJAR y dar resultados. Bienestar no es desempleo, desabasto de tratamientos, medicinas, ni inseguridad, mucho menos ocultar la verdadera crisis COVID.",30 ago.,@RiosCorona1
"Comparte la imagen del Zócalo. Hacer ejercicio, mejor dicho a huir de la voz que exige tu renuncia!",30 ago.,@josemarmed
"Fe de erratas. Donde dice: “amigos”, debe decir: “lambiscones”.",30 ago.,@rodsainz1
Qué interesante.....ya me dio sueño.,30 ago.,@Mexicano100PC
"Amigos radicales de Izquierda,

Se acuerdan que critican a Ciro o Loret por salir en fotos con políticos de derecha?  

Bueno ahí tienen a sus chayoteros. ¿Sus opiniones si cuentan?

😂😂😂✍️🧐",30 ago.,@DonPorfifirio
"El tráfico de influencias en esta administración es la más descarada en décadas que afecta todos los poderes de la federación  eliminando su autonomía, tanto así que a pesar de la baja transparencia se ha dejado ver la corrupción y compadrazgo. 
La ley esta en segundo plano.",29 ago.,@cosgaya_emilio
"Se predica con el ejemplo pequeño bufón de palacio.
Porqué asignár contratos sin licitación a algunos empresarios?
De a como es el ""móche""?",29 ago.,@ManuelM57022300
Ni hablar sabe.,31 ago.,@RGermenos
Seguro oh mesías incandecenre y por ñaque no lo haces pendejo,31 ago.,@LuisArc97891750
"Puras palabras al aire, MÉXICO TE QUEDA MUY MUY GRANDE, corrupto! FUERA LÓPEZ!",31 ago.,@josemarmed
"Explícanos cómo le vas a hacer si solo estas espantando la inversión privada nacional y la extranjera ni que decir,nos estas llevando a un pozo sin fondo en todo:salud de terror,economía de pesadilla,división entre mexicanos a todo lo que da,eres un destructor!TRAIDOR A LA PATRIA",30 ago.,@JorgeAguilarC81
Estás demente López. Por el bien de todos realízate estudios.,30 ago.,@riaton_don
